Exchange,Symbol,Company Name,Token,Series/Group
BSE,APARINDS,APARINDS,532259,BSE_EQ
BSE,APCL,APCL,518091,BSE_EQ
BSE,APCOTEXIND,APCOTEXIND,523694,BSE_EQ
BSE,APEX,APEX,540692,BSE_EQ
BSE,APIS,APIS,506166,BSE_EQ
BSE,APL,APL,544445,BSE_EQ
BSE,APLAB,APLAB,517096,BSE_EQ
BSE,APLAPOLLO,APLAPOLLO,533758,BSE_EQ
BSE,APLLTD,APLLTD,533573,BSE_EQ
BSE,APMIN,APMIN,523537,BSE_EQ
BSE,APOLLO,APOLLO,540879,BSE_EQ
BSE,APOLLOFI,APOLLOFI,512437,BSE_EQ
BSE,APOLLOHOSP,APOLLOHOSP,508869,BSE_EQ
BSE,APOLLOIN,APOLLOIN,503639,BSE_EQ
BSE,APOLLOPIPE,APOLLOPIPE,531761,BSE_EQ
BSE,APOLLOTYRE,APOLLOTYRE,500877,BSE_EQ
BSE,APOORVA,APOORVA,539545,BSE_EQ
BSE,APPL,APPL,544529,BSE_EQ
BSE,APTECHT,APTECHT,532475,BSE_EQ
BSE,APTPACK,APTPACK,506979,BSE_EQ
BSE,APTUS,APTUS,543335,BSE_EQ
BSE,AQYLON,AQYLON,530943,BSE_EQ
BSE,ARAVALIS,ARAVALIS,512344,BSE_EQ
BSE,ARCFIN,ARCFIN,540135,BSE_EQ
BSE,ARCHIDPLY,ARCHIDPLY,532994,BSE_EQ
BSE,ARCHIES,ARCHIES,532212,BSE_EQ
BSE,ARCHITORG,ARCHITORG,524640,BSE_EQ
BSE,ARCL,ARCL,543993,BSE_EQ
BSE,ARDIALL,ARDIALL,504370,BSE_EQ
BSE,ARE&M,ARE&M,500008,BSE_EQ
BSE,ARENTERP,ARENTERP,526662,BSE_EQ
BSE,AREXMIS,AREXMIS,526851,BSE_EQ
BSE,ARFIN,ARFIN,539151,BSE_EQ
BSE,ARIES,ARIES,532935,BSE_EQ
BSE,ARIGATO,ARIGATO,530267,BSE_EQ
BSE,ARIHANT,ARIHANT,531381,BSE_EQ
BSE,ARIHANTCAP,ARIHANTCAP,511605,BSE_EQ
BSE,ARIHANTSUP,ARIHANTSUP,506194,BSE_EQ
BSE,ARIS,ARIS,544419,BSE_EQ
BSE,ARISE,ARISE,531017,BSE_EQ
BSE,ARITAS,ARITAS,544683,BSE_EQ
BSE,ARKADE,ARKADE,544261,BSE_EQ
BSE,ARL,ARL,542721,BSE_EQ
BSE,ARMAN,ARMAN,538556,BSE_EQ
BSE,ARMANFIN,ARMANFIN,531179,BSE_EQ
BSE,ARNOLD,ARNOLD,537069,BSE_EQ
BSE,AROGRANITE,AROGRANITE,513729,BSE_EQ
BSE,ARROWGREEN,ARROWGREEN,516064,BSE_EQ
BSE,ARROWHEAD,ARROWHEAD,544025,BSE_EQ
BSE,ARSHIYA,ARSHIYA,506074,BSE_EQ
BSE,ARSIFHDAD,ARSIFHDAD,544749,BSE_EQ
BSE,ARSIFHDG,ARSIFHDG,544691,BSE_EQ
BSE,ARSIFHRG,ARSIFHRG,544689,BSE_EQ
BSE,ARSIFHRHD,ARSIFHRHD,544692,BSE_EQ
BSE,ARSIFHRMD,ARSIFHRMD,544690,BSE_EQ
BSE,ARSSBL,ARSSBL,544530,BSE_EQ
BSE,ARTEFACT,ARTEFACT,531297,BSE_EQ
BSE,ARTEMISADR,ARTEMISADR,543286,BSE_EQ
BSE,ARTEMISMED,ARTEMISMED,542919,BSE_EQ
BSE,ARTSON,ARTSON,522134,BSE_EQ
BSE,ARUNAHTEL,ARUNAHTEL,500016,BSE_EQ
BSE,ARVAYA,ARVAYA,524723,BSE_EQ
BSE,ARVIND,ARVIND,500101,BSE_EQ
BSE,ARVINDFASN,ARVINDFASN,542484,BSE_EQ
BSE,ARVSMART,ARVSMART,539301,BSE_EQ
BSE,ARYACAPM,ARYACAPM,538716,BSE_EQ
BSE,ARYAMAN,ARYAMAN,530245,BSE_EQ
BSE,ARYAN,ARYAN,542176,BSE_EQ
BSE,ARYAVAN,ARYAVAN,539455,BSE_EQ
BSE,ASAHIINDIA,ASAHIINDIA,515030,BSE_EQ
BSE,ASAHISONG,ASAHISONG,532853,BSE_EQ
BSE,ASAL,ASAL,520119,BSE_EQ
BSE,ASALCBR,ASALCBR,507526,BSE_EQ
BSE,ASARFI,ASARFI,543943,BSE_EQ
BSE,ASCENSIVE,ASCENSIVE,543443,BSE_EQ
BSE,ASGARD,ASGARD,512025,BSE_EQ
BSE,ASHAI,ASHAI,519174,BSE_EQ
BSE,ASHAPURMIN,ASHAPURMIN,527001,BSE_EQ
BSE,ASHCAP,ASHCAP,512247,BSE_EQ
BSE,ASHIANA,ASHIANA,523716,BSE_EQ
BSE,ASHIKA,ASHIKA,543766,BSE_EQ
BSE,ASHIMASYN,ASHIMASYN,514286,BSE_EQ
BSE,ASHISHPO,ASHISHPO,530429,BSE_EQ
BSE,ASHNI,ASHNI,541702,BSE_EQ
BSE,ASHNOOR,ASHNOOR,507872,BSE_EQ
BSE,ASHOKA,ASHOKA,533271,BSE_EQ
BSE,ASHOKAMET,ASHOKAMET,540923,BSE_EQ
BSE,ASHOKLEY,ASHOKLEY,500477,BSE_EQ
BSE,ASHRAM,ASHRAM,526187,BSE_EQ
BSE,ASHSI,ASHSI,526847,BSE_EQ
BSE,ASHUTPM,ASHUTPM,531568,BSE_EQ
BSE,ASIACAP,ASIACAP,538777,BSE_EQ
BSE,ASIAN,ASIAN,543927,BSE_EQ
BSE,ASIANENE,ASIANENE,530355,BSE_EQ
BSE,ASIANHOTNR,ASIANHOTNR,500023,BSE_EQ
BSE,ASIANPAINT,ASIANPAINT,500820,BSE_EQ
BSE,ASIANTILES,ASIANTILES,532888,BSE_EQ
BSE,ASIANTNE,ASIANTNE,519532,BSE_EQ
BSE,ASIAPAK,ASIAPAK,530899,BSE_EQ
BSE,ASIIL,ASIIL,502015,BSE_EQ
BSE,ASINPET,ASINPET,524434,BSE_EQ
BSE,ASITCFIN,ASITCFIN,530723,BSE_EQ
BSE,ASKAUTOLTD,ASKAUTOLTD,544022,BSE_EQ
BSE,ASMS,ASMS,532694,BSE_EQ
BSE,ASMTEC,ASMTEC,526433,BSE_EQ
BSE,ASPIRA,ASPIRA,540788,BSE_EQ
BSE,ASRL,ASRL,541865,BSE_EQ
BSE,ASSAMENT,ASSAMENT,542911,BSE_EQ
BSE,ASSOCER,ASSOCER,531168,BSE_EQ
BSE,ASSOCIATED,ASSOCIATED,544183,BSE_EQ
BSE,ASTALLTD,ASTALLTD,512600,BSE_EQ
BSE,ASTAR,ASTAR,531847,BSE_EQ
BSE,ASTEC,ASTEC,533138,BSE_EQ
BSE,ASTERDM,ASTERDM,540975,BSE_EQ
BSE,ASTONEALAB,ASTONEALAB,544409,BSE_EQ
BSE,ASTRAL,ASTRAL,532830,BSE_EQ
BSE,ASTRAMICRO,ASTRAMICRO,532493,BSE_EQ
BSE,ASTRAZEN,ASTRAZEN,506820,BSE_EQ
BSE,ASTRON,ASTRON,540824,BSE_EQ
BSE,ASTRONMULT,ASTRONMULT,544628,BSE_EQ
